throat._id,throat.area,throat.direct_length,throat.equivalent_diameter,throat.inscribed_diameter,throat.perimeter,throat.total_length,throat.all,throat.boundary,throat.internal,throat.centroid[0],throat.centroid[1],throat.centroid[2],throat.conns[0],throat.conns[1],pore._id,pore.equivalent_diameter,pore.extended_diameter,pore.inscribed_diameter,pore.label,pore.region_volume,pore.surface_area,pore.all,pore.back,pore.bottom,pore.boundary,pore.front,pore.internal,pore.left,pore.right,pore.top,pore.centroid[0],pore.centroid[1],pore.centroid[2],pore.coords[0],pore.coords[1],pore.coords[2]
23769,3.5447069999999993e-10,0.00016883090022913204,1.8827392278273695e-05,1.88273919403553e-05,"0,06522",0.00020416744935138612,True,False,True,0.002038125,0.0014565799999999999,0.00020653,833,2950,18410.0,0.00011247068352240697,8.763674192428588e-05,4.912304531441521e-05,3410.0,7.449319917399999e-13,5.257982049999999e-08,True,False,False,False,False,True,False,False,False,0.0003411528415948276,0.00048277675969827583,0.00031696592025862066,0.0003411528415948276,0.00048277675969827583,0.00031696592025862066
23770,2.0382065249999994e-09,0.00014879680635938923,4.5146500694959734e-05,2.4306059272289273e-05,0.00025001,0.00016051928348995436,True,False,True,0.0018587699999999998,0.0013043999999999998,0.00029892499999999996,833,3291,18411.0,0.00011686955639416853,5.542634226322174e-05,4.601264597361672e-05,3411.0,8.358008510772499e-13,6.200283327499999e-08,True,False,False,False,False,True,False,False,False,0.0004285454696504034,0.0005908479744525547,0.00012103993469074144,0.0004285454696504034,0.0005908479744525547,0.00012103993469074144
23771,9.747944249999999e-10,0.00015157749027408575,3.1221697983934185e-05,1.88273919403553e-05,0.000179355,0.0001522987029564916,True,False,True,0.00200008,0.0013804899999999998,0.00029349,833,3903,18412.0,4.5091055737443265e-05,2.6625954473018644e-05,1.7212257364916295e-05,3412.0,4.8003160674624995e-14,5.523835074999999e-09,True,False,False,False,False,True,False,False,False,0.0008893586789297658,0.001101360033444816,0.00044381591973244143,0.0008893586789297658,0.001101360033444816,0.00044381591973244143
23772,6.794021749999998e-10,0.0001713413384950827,2.6065344329204627e-05,1.88273919403553e-05,0.000125005,0.0001800791819100467,True,False,True,5.9785e-05,0.00017392,0.001353315,834,1838,18413.0,9.469077249310063e-05,"0,06522",4.383821086896944e-05,3413.0,4.445510097258749e-13,3.075033322499999e-08,True,False,False,False,False,True,False,False,False,0.000206292500902853,0.0012538539111592631,0.001779610176959191,0.000206292500902853,0.0012538539111592631,0.001779610176959191
23773,2.0677457499999996e-10,8.649615977680322e-05,1.4379658375636048e-05,1.5372501159906385e-05,3.8045e-05,8.669621701690127e-05,True,False,True,5.9785e-05,0.00023370499999999999,0.001396795,834,2274,18414.0,0.0001297258939701746,9.223500436782836e-05,6.0188264321758214e-05,3414.0,1.1430852976699999e-12,8.229628084999998e-08,True,False,False,False,False,True,False,False,False,0.0017753465667134831,0.0012117721804775282,0.0016758478995786516,0.0017753465667134831,0.0012117721804775282,0.0016758478995786516
23774,5.907844999999999e-10,3.4645062398991164e-05,2.4306058915422712e-05,2.4306059272289273e-05,7.0655e-05,4.7493668692912214e-05,True,True,False,"0,01087",0.00019022499999999998,0.0013804899999999998,834,4551,18415.0,6.407605570488836e-05,5.542634226322174e-05,3.125811965509589e-05,3415.0,1.3774820019674998e-13,1.2760945199999997e-08,True,False,False,False,False,True,False,False,False,0.0007703320687645687,0.0019721195221445217,0.0014155071095571094,0.0007703320687645687,0.0019721195221445217,0.0014155071095571094
23775,2.3631379999999995e-10,0.00010801555507775541,1.5372501422995543e-05,"0,01087","0,04348",0.0001088344197349487,True,False,True,0.001114175,0.001298965,0.001396795,835,1158,18416.0,4.230895760064236e-05,3.437395858287811e-05,2.133130670685424e-05,3416.0,3.9654784905124996e-14,4.755815224999999e-09,True,False,False,False,False,True,False,False,False,0.0011063415587044534,0.0005393852429149798,0.0008172743724696356,0.0011063415587044534,0.0005393852429149798,0.0008172743724696356
23776,8.861767499999998e-11,0.0001125931232293552,9.413696139136847e-06,1.5372501159906385e-05,1.6305e-05,0.00011381518433230565,True,False,True,0.0011196099999999998,0.001298965,0.00139136,835,2712,18417.0,2.8052883390934346e-05,1.88273919403553e-05,9.413696139136847e-06,3417.0,1.1559289526999998e-14,1.7723534999999997e-09,True,False,False,False,False,True,False,False,False,0.0006174763888888889,0.0016785091666666665,0.0017073448611111112,0.0006174763888888889,0.0016785091666666665,0.0017073448611111112
23777,4.135491499999999e-10,0.00017659287627099104,2.033590789711637e-05,1.5372501159906385e-05,"0,07609",0.00017817494060256377,True,False,True,0.0011250449999999999,0.0013043999999999998,0.0013804899999999998,835,3644,18418.0,0.00019773626737648017,6.338244487762451e-05,5.396875095783157e-05,3418.0,4.048159519768124e-12,2.5846821874999993e-07,True,False,False,False,False,True,False,False,False,0.00017688031290898274,0.0011412732655165577,0.00023264903866745983,0.00017688031290898274,0.0011412732655165577,0.00023264903866745983
23778,5.907844999999999e-11,0.00010764555455321818,7.686250711497772e-06,"0,01087","0,01087",0.00011172994110228229,True,False,True,0.001168525,0.000461975,0.0005271949999999999,836,1121,18419.0,3.344413372017056e-05,1.88273919403553e-05,9.413696139136847e-06,3419.0,1.9586573920749995e-14,3.0130009499999993e-09,True,False,False,False,False,True,False,False,False,2.405655737704918e-05,0.0014525260245901639,0.0017586234426229506,2.405655737704918e-05,0.0014525260245901639,0.0017586234426229506
23779,2.1563634249999996e-09,0.000129621071083406,4.6436660355800776e-05,"0,03261",0.00028262,0.0001541858927647645,True,False,True,0.0010815649999999998,0.00042936499999999997,0.00057611,836,2174,18420.0,7.625285437951378e-05,3.074500231981277e-05,2.133130670685424e-05,3420.0,2.3214906466724995e-13,2.5876361099999994e-08,True,False,False,False,False,True,False,False,False,0.0010846846749654217,0.00011339830567081604,0.0018737030947441216,0.0010846846749654217,0.00011339830567081604,0.0018737030947441216
23780,8.861767499999998e-11,0.00012990796975166286,9.413696139136847e-06,"0,01087",1.6305e-05,0.00013559884093006366,True,False,True,0.001146785,0.00034784,0.00051089,836,2665,18421.0,9.231782379689019e-05,4.738123339653015e-05,3.796753537715028e-05,3421.0,4.1196023508724994e-13,3.258176517499999e-08,True,False,False,False,False,True,False,False,False,0.0020782203039750586,0.002003149101714731,0.00027871637373343724,0.0020782203039750586,0.002003149101714731,0.00027871637373343724
