,d,beta_0,beta_1,beta_2,G
0,5.888512052869102e-05,0.19661802042707954,0.6870891531839085,0.6870891531839085,0.03352118967914787
1,3.187706100174561e-05,0.4509747155143178,0.4509747155143178,0.668846895766261,0.04633707786814975
2,6.121392663306841e-05,0.1077415580245429,0.1077415580245429,1.3553132107458108,0.013361883329182528
3,6.828745990214998e-05,0.09042099125193946,0.09042099125193946,1.3899543442910176,0.011240358386478626
4,6.863005569524465e-05,0.36372010439106656,0.36372010439106656,0.8433561180127634,0.04068741569163983
5,4.26724623708656e-05,0.047407303396440836,0.7616945116992279,0.7616945116992279,0.010787427522574035
6,5.045212313806386e-05,0.2817015265354284,0.2817015265354284,1.0073932737240399,0.03314501979138652
7,5.877632573024229e-05,0.03144761238175864,0.769674357206569,0.769674357206569,0.007385014164885614
8,5.208066723795343e-05,0.042646353647186164,0.7640749865738552,0.7640749865738552,0.009795619892994191
9,5.6100911475847315e-05,0.013360951336129467,0.7787176877293835,0.7787176877293835,0.003252353284912169
10,2.1751826205071866e-05,0.3113365412055047,0.3113365412055047,0.9481232443838872,0.036059647334429706
11,3.4922473544458964e-05,0.03732576026258849,0.766735283266154,0.766735283266154,0.008664073951674688
12,2.2925624594103737e-05,0.04790146351681675,0.04790146351681675,1.474993399761263,0.005978496209373961
13,6.285304712935993e-05,0.04754606756666635,0.7616251296141151,0.7616251296141151,0.010816045008919127
14,3.864270139374037e-05,0.10842694811924804,0.10842694811924804,1.3539424305564005,0.013445504043887151
15,5.399239757890483e-05,0.00659532683468278,0.7821004999801069,0.7821004999801069,0.0016272487935492328
16,3.281399746633148e-05,0.054551835698422035,0.7581222455482373,0.7581222455482373,0.012239786497104983
17,3.737906075762457e-05,0.2722747901631148,0.2722747901631148,1.0262467464686669,0.032180287066756
18,2.047063850404846e-05,0.3166504412034653,0.3166504412034653,0.937495444387966,0.0365616238132265
19,3.791668913524846e-05,0.0874431913675413,0.0874431913675413,1.395909944059814,0.0108741235764639
20,6.745470908391051e-05,0.16143658276559214,0.7046798720146522,0.7046798720146522,0.02943762709172193
21,3.089495045658444e-05,0.3335103716486749,0.6186429775731108,0.6186429775731108,0.04389094132093572
22,3.596956831901823e-05,0.1361151332366004,0.7173405967791481,0.7173405967791481,0.02605825350278568
23,6.588861930002935e-05,0.08513584501947524,0.7428302408877107,0.7428302408877107,0.01799144151074629
24,2.1595183321994736e-05,0.005081010601690856,0.005081010601690856,1.5606343055915148,0.0006351153936138503
25,2.3254226852125722e-05,0.26793541226071604,0.6514304572670903,0.6514304572670903,0.039900566181300404
26,5.1491449955391115e-05,0.34693567850038304,0.34693567850038304,0.8769249697941305,0.039286834819610525
27,6.369067216397688e-05,0.030703607726623065,0.030703607726623065,1.5093891113416504,0.00383553595386518
28,2.0435786615189232e-05,0.03545225058838053,0.767672038103258,0.767672038103258,0.008259731610593353
29,5.732886184969684e-05,0.2738097814667142,0.6484932726640912,0.6484932726640912,0.04032546411448488
30,6.0642058550131154e-05,0.22529251709418113,0.22529251709418113,1.1202112926065344,0.027143174072246746
31,2.3785872308613336e-05,0.13636314335225339,0.13636314335225339,1.2980700400903897,0.016828904598358223
32,5.282276672984789e-05,0.0559287730294719,0.0559287730294719,1.4589387807359528,0.006976458303158087
33,4.54631100041759e-05,0.037956534304426755,0.037956534304426755,1.494883258186043,0.004740001250084044
34,4.399416957481915e-05,0.14253313462314088,0.7141315960858778,0.7141315960858778,0.026951741054984626
35,6.77787072465533e-05,0.2918396150460858,0.2918396150460858,0.987117096702725,0.034163061064190085
36,2.0000601678474244e-05,0.3779445014194358,0.5964259126877304,0.5964259126877304,0.0457488038876102
37,3.23489350495958e-05,0.31061143700684024,0.31061143700684024,0.9495734527812161,0.035990636497559375
38,5.5611633895579135e-05,0.1453833720603845,0.1453833720603845,1.2800295826741275,0.017909694623152443
39,3.622910248933563e-05,0.22660523308291491,0.6720955468559908,0.6720955468559908,0.03649225638011208
40,3.3849817819190475e-05,0.014067486728041922,0.7783644200334273,0.7783644200334273,0.003419525962701962
41,5.477227262767372e-05,0.16529041937213806,0.7027529537113792,0.7027529537113792,0.029918549263180796
42,6.592758740729743e-05,0.2077419970348704,0.6815271648800131,0.6815271648800131,0.03467536996575107
43,3.2223785109899517e-05,0.01609492549639926,0.01609492549639926,1.538606475802098,0.002011518125340702
44,4.290429086383818e-05,0.1546737743657711,0.1546737743657711,1.2614487780633543,0.019016080847458778
45,3.264963414107532e-05,0.03316743292808266,0.768814446933407,0.768814446933407,0.007762417762716035
46,3.896666457415328e-05,0.0598173549971075,0.7554894858988945,0.7554894858988945,0.013283053619212788
