,d,beta_0,beta_1,beta_2,G,pce,path,P1,P2
17,4.094127700809692e-06,0.34329483031814023,0.6137507482383782,0.6137507482383782,0.04435428914207099,25035.100883181396,False,18,19
18,6.178990091316889e-06,0.2584863271192148,0.6561549998378409,0.6561549998378409,0.03918705199441443,16155.078464431199,False,20,21
19,6.178990091316889e-06,0.3351318431578605,0.617832241818518,0.617832241818518,0.04396993744479202,16556.669013413517,False,21,22
20,7.193913663803646e-06,0.0442761386319841,0.7632600940814562,0.7632600940814562,0.010137324154896179,11016.194047190684,False,22,23
21,4.319036664398947e-06,0.18501059639412082,0.18501059639412082,1.2007751340066548,0.02257447147096182,20775.911952525905,False,23,24
22,4.319036664398947e-06,0.12587919064561573,0.12587919064561573,1.3190379455036652,0.01556521290484545,19527.881188320538,False,24,25
23,4.650845370425145e-06,0.107258838876364,0.7317687439592663,0.7317687439592663,0.02171201016058496,19161.89345861146,False,25,26
24,1.0298289991078224e-05,0.30031994055057215,0.30031994055057215,0.9701564456937523,0.03499825407421164,9469.653794591273,False,26,27
25,4.087157323037846e-06,0.20973866541467778,0.6805288306901094,0.6805288306901094,0.034875922705536855,23843.47470984676,False,27,28
26,4.087157323037846e-06,0.17137581892836007,0.6997102539332682,0.6997102539332682,0.030660656364069807,23240.68298078134,False,28,29
27,2.3762086436304722e-05,0.07583607318138119,0.7474801268067577,0.7474801268067577,0.01631984080507985,3576.0146882989657,True,30,31
28,2.3762086436304722e-05,0.08671943289378582,0.08671943289378582,1.397357461007325,0.01078504860162932,3363.5830956074974,True,31,32
29,4.541764689417172e-05,0.1843912824810484,0.1843912824810484,1.2020137618327997,0.022502744579728517,1974.5937794831493,True,32,33
30,4.395017540524433e-05,0.31095019628947546,0.31095019628947546,0.9488959342159456,0.03602289266328361,2231.98749882502,True,33,34
31,4.395017540524433e-05,0.07083855915619604,0.07083855915619604,1.4291192084825044,0.008825002962674744,1770.953785337828,True,34,35
32,1.998060107679577e-05,0.004693205747566598,0.783051560523665,0.783051560523665,0.0011623483661483598,3261.4645476036476,True,35,36
33,1.998060107679577e-05,0.04047015332769599,0.04047015332769599,1.4898560201395046,0.005053233776294033,3653.822656269122,True,36,37
34,3.23165861145462e-05,0.04971706523261873,0.04971706523261873,1.471362196329659,0.006204359351919445,2309.308225953132,True,37,38
35,3.619287338684629e-05,0.1830610524124129,0.1830610524124129,1.2046742219700708,0.02234854377066626,2474.8660871078887,True,38,39
36,6.7699635638380955e-06,0.08036862699443614,0.7452138499002302,0.7452138499002302,0.017142748329254758,12650.934865703082,False,40,41
37,5.471750035504605e-05,0.41268747733063715,0.41268747733063715,0.7454213721336223,0.044237521732925444,1872.129223400699,True,41,42
38,3.219156132478962e-05,0.0804625919057527,0.0804625919057527,1.4098711429833912,0.010014045654872905,2458.0233523624197,True,42,43
