,Network,Geometric props,Kx cylinder,Ky cylinder,Kz cylinder,Kx prism,Ky prism,Kz prism,G20,G50,G80
0,0,0,4.521731582527015,4.642467661743994,4.534077969261308,1.9151945111463138,2.014675555522871,1.9535202565796466,0.016536046640062762,0.034747986272985885,0.04585982990875034
1,0,1,4.521731582527015,4.642467661743994,4.5340779692613085,1.9332851682579573,1.9727450360220002,1.971710240296467,0.01620241961739028,0.03446722805170599,0.04581302677016973
2,0,2,4.521731582527015,4.642467661743994,4.534077969261308,1.9265118603234503,1.9806010294432665,1.941518590083332,0.0161528696351694,0.03457031204013617,0.04577550072410753
3,0,3,4.521731582527015,4.642467661743994,4.534077969261308,1.9211624063442179,2.0054465337157903,1.9857136385757725,0.016177476202547537,0.03459910071071526,0.04592198340024908
4,0,4,4.521731582527015,4.642467661743994,4.5340779692613085,2.009868505154105,1.9836879592730021,1.9499955737203432,0.016363033861402962,0.03463513949847644,0.04582121929827221
5,0,5,4.521731582527015,4.642467661743994,4.534077969261308,1.955180057588061,2.030601277698134,1.9609821621804913,0.017020444679310444,0.03501579655153184,0.04593356734520494
6,0,6,4.521731582527015,4.642467661743994,4.534077969261308,1.9388605983986877,2.040151034935559,1.9454560365302551,0.01650006074032643,0.03467891510311873,0.0457431307373655
7,0,7,4.521731582527015,4.642467661743994,4.534077969261308,1.9427680902798699,2.0178638719434288,2.012446558828436,0.016892658764059695,0.03492457382541299,0.045985102621038235
8,0,8,4.521731582527015,4.642467661743994,4.534077969261308,2.01351808014529,2.0192674364081036,1.9724853643613185,0.016378394526583444,0.03510392123039745,0.04589489287562729
9,0,9,4.521731582527015,4.642467661743994,4.534077969261308,1.908207433539593,1.9767593517844073,1.9477473384852708,0.016447583381580883,0.034684023236979555,0.04587187222166084
10,1,0,4.601081828561489,4.601642564080661,4.571684283213534,1.9235183432459175,1.944896133766159,1.9253613978614907,0.01598566924881917,0.03434864555938504,0.04583653009281228
11,1,1,4.601081828561489,4.601642564080661,4.571684283213534,1.979147778847101,2.009422364745777,1.9830251585269427,0.01615309482602743,0.03473064960704373,0.045958963081904176
12,1,2,4.601081828561489,4.601642564080661,4.571684283213534,2.0100728335373415,1.9816880647036328,2.0008900006105295,0.016035378883503103,0.03444867097448177,0.045767909265234274
13,1,3,4.601081828561489,4.601642564080661,4.571684283213534,1.9905231990854075,1.964174087234656,1.9354400781077838,0.01621053586160172,0.03431778242100205,0.045804069814528864
14,1,4,4.601081828561489,4.601642564080661,4.571684283213534,1.9797330050064992,2.00708150162484,1.9895413387486662,0.016645126605228454,0.03490806390753044,0.045859855669878935
15,1,5,4.601081828561489,4.601642564080661,4.571684283213534,2.0148782455428864,2.018799421182796,1.9829929829349295,0.016724361265715994,0.03493454246487327,0.04587429494156922
16,1,6,4.601081828561489,4.601642564080661,4.571684283213534,1.955017235755167,1.9521590491173484,1.9903806473473367,0.016225144490995307,0.034721640390877835,0.0459590850661033
